normal,normal
ipsweep,probe
mscan,probe
nmap,probe
portsweep,probe
saint,probe
satan,probe
apache2,dos
back,dos
land,dos
mailbomb,dos
neptune,dos
pod,dos
processtable,dos
smurf,dos
teardrop,dos
udpstorm,dos
buffer_overflow,dos
httptunnel,u2r
loadmodule,u2r
perl,u2r
ps,u2r
rootkit,u2r
sqlattack,u2r
xterm,u2r
ftp_write,r2l
guess_passwd,r2l
imap,r2l
multihop,r2l
named,r2l
phf,r2l
sendmail,r2l
snmpgetattack,r2l
snmpguess,r2l
spy,r2l
warezclient,r2l
warezmaster,r2l
worm,r2l
xlock,r2l
xsnoop,r2l